Codigo IATA,Descripcion del codigo,Estado ,Aniomes,Tipo Combustible,Litros de combustible suministrado,Servicios realizados
VSA,Villahermosa,Tabasco,201503,Turbosina,3016677,859
ZCL,Zacatecas,Zacatecas,201503,Turbosina,825513,291
ZIH,Zihuatanejo,Guerrero,201503,Turbosina,2456541,443
ZLO,Manzanillo,Colima,201503,Turbosina,1299299,334
ACA,Acapulco,Guerrero,201503,Gasavion,45877,509
AGU,Aguascalientes,Aguascalientes,201503,Gasavion,9657,49
BJX,El Bajio,Guanajuato,201503,Gasavion,12716,52
CEN,Ciudad Obregon,Sonora,201503,Gasavion,256891,347
CJS,Ciudad Juarez,Chihuahua,201503,Gasavion,5938,28
CME,Ciudad Del Carmen,Campeche,201503,Gasavion,2908,13
CLQ,Colima,Colima,201503,Gasavion,50183,68
CPE,Campeche,Campeche,201503,Gasavion,12160,41
CTM,Chetumal,Quintana Roo,201503,Gasavion,16249,71
CUL,Culiacan,Sinaloa,201503,Gasavion,285590,667
CUN,Cancun,Quintana Roo,201503,Gasavion,20317,82
CUU,Chihuahua,Chihuahua,201503,Gasavion,129486,354
CVJ,Cuernavaca,Morelos,201503,Gasavion,45385,526
CVM,Ciudad Victoria,Tamaulipas,201503,Gasavion,16968,94
CZM,Cozumel,Quintana Roo,201503,Gasavion,26119,174
DGO,Durango,Durango,201503,Gasavion,45753,264
GDL,Guadalajara,Jalisco,201503,Gasavion,149446,544
GYM,Guaymas,Sonora,201503,Gasavion,31330,137
HMO,Hermosillo,Sonora,201503,Gasavion,111029,503
HUX,Huatulco,Oaxaca,201503,Gasavion,3479,23
LAP,La Paz,Baja California Sur,201503,Gasavion,44321,87
LMM,Los Mochis,Sinaloa,201503,Gasavion,132478,233
LTO,Loreto,Baja California Sur,201503,Gasavion,22859,111
LZC,Lazaro Cardenas,Michoacan,201503,Gasavion,1668,16
MAM,Matamoros,Tamaulipas,201503,Gasavion,1257,7
MEX,Mexico,Distrito Federal,201503,Gasavion,20000,2
MID,Merida,Yucatan,201503,Gasavion,26204,160
MLM,Morelia,Michoacan,201503,Gasavion,12531,79
MTT,Minatitlan,Veracruz,201503,Gasavion,4009,29
MTY,Monterrey,Nuevo Leon,201503,Gasavion,94771,15
MXL,Mexicali,Baja California,201503,Gasavion,40885,96
MZT,Mazatlan,Sinaloa,201503,Gasavion,273048,90
NLD,Nuevo Laredo,Tamaulipas,201503,Gasavion,3175,10
NOG,Nogales,Sonora,201503,Gasavion,20328,46
OAX,Oaxaca,Oaxaca,201503,Gasavion,14574,107
PAZ,Poza Rica,Veracruz,201503,Gasavion,3489,20
PBC,Puebla,Puebla,201503,Gasavion,27624,279
PCA,Pachuca,Hidalgo,201503,Gasavion,10400,52
PPE,Puerto Penasco,Sonora,201503,Gasavion,24029,74
PQM,Palenque,Chiapas,201503,Gasavion,0,0
PVR,Puerto Vallarta,Jalisco,201503,Gasavion,27477,108
PXM,Puerto Escondido,Oaxaca,201503,Gasavion,8494,66
QRO,Queretaro,Queretaro,201503,Gasavion,33457,331
REX,Reynosa,Tamaulipas,201503,Gasavion,38695,67
SJD,San Jose Del Cabo,Baja California Sur,201503,Gasavion,5487,8
SLP,San Luis Potosi,San Luis Potosi,201503,Gasavion,15033,63
TAM,Tampico,Tamaulipas,201503,Gasavion,19642,120
TAP,Tapachula,Chiapas,201503,Gasavion,158879,190
